<unk>	0
<s>	0
</s>	0
▁	-2.01685
,	-4.1462
:	-4.46102
.	-4.67079
น	-4.92028
)	-4.95212
ที่	-5.0168
▁(	-5.17235
s	-5.17474
ม	-5.2045
ของ	-5.20948
-	-5.29012
ก	-5.29286
ส	-5.31284
การ	-5.33811
▁-	-5.44339
;	-5.45778
ด	-5.51669
ใน	-5.53126
และ	-5.56248
ค	-5.59523
ล	-5.64152
▁&	-5.71039
gt	-5.78813
ง	-5.80468
ย	-5.86455
▁/	-5.88097
เป็น	-5.88529
ว	-5.89681
A	-5.91196
▁และ	-5.94539
o	-5.95867
ได้	-5.95906
บ	-5.97279
c	-5.97625
ท	-5.98849
y	-5.99113
▁S	-6.01326
/	-6.01403
S	-6.01581
ต	-6.0227
C	-6.02317
a	-6.03097
e	-6.04449
▁1	-6.08582
▁P	-6.13194
ป	-6.1347
M	-6.13725
p	-6.13946
ห	-6.16346
er	-6.16479
i	-6.16592
D	-6.17385
2	-6.19048
ร	-6.19863
m	-6.19881
b	-6.20361
1	-6.23842
มา	-6.26049
▁C	-6.27458
...	-6.28069
อ	-6.28114
d	-6.28381
V	-6.28759
สําหรับ	-6.29887
B	-6.31763
T	-6.31891
▁2	-6.32405
มี	-6.32716
u	-6.3372
จาก	-6.33894
g	-6.33933
พ	-6.34454
P	-6.35151
3	-6.35898
▁B	-6.38825
L	-6.39743
กับ	-6.40277
จะ	-6.41638
ั	-6.41827
I	-6.41946
แบบ	-6.42579
ไป	-6.42964
r	-6.43001
▁3	-6.44084
in	-6.44458
ความ	-6.45312
t	-6.45993
แ	-6.46326
▁การ	-6.46341
ช	-6.4755
x	-6.48237
▁T	-6.50038
G	-6.52321
ing	-6.53153
▁F	-6.54053
▁_	-6.54271
เ	-6.55256
an	-6.5543
F	-6.55929
▁D	-6.56615
n	-6.57108
ให้	-6.57795
ว่า	-6.58918
f	-6.59864
k	-6.60208
▁เครื่อง	-6.60406
▁A	-6.60604
ด้วย	-6.60864
w	-6.62242
ะ	-6.6327
ดี	-6.65101
00	-6.6612
นี้	-6.6676
H	-6.67458
U	-6.68618
R	-6.69563
▁M	-6.70119
al	-6.70189
4	-6.70708
ไม่	-6.71904
▁G	-6.7193
l	-6.73353
O	-6.74321
▁H	-6.74548
ทํา	-6.74831
แล้ว	-6.74897
ทาง	-6.75232
?	-6.75342
ตัว	-6.75361
5	-6.7652
ใช้	-6.77028
ฟ	-6.77146
น้ํา	-6.77248
50	-6.77743
%	-6.78579
h	-6.79137
E	-6.79226
จ	-6.81055
re	-6.8126
รา	-6.813
N	-6.81623
ar	-6.82737
้	-6.82826
K	-6.83353
le	-6.84835
!	-6.85204
